                  上证指数 (999999)
      时间	    开盘	    最高	    最低	    收盘	         成交量	
 2019/05/24-09:51	 2861.54	 2861.79	 2859.89	 2860.63	         102659	
 2019/05/24-09:52	 2859.97	 2859.97	 2858.45	 2859.95	         104225	
 2019/05/24-09:53	 2859.56	 2861.67	 2859.56	 2861.52	         118212	
 2019/05/24-09:54	 2860.84	 2861.61	 2860.78	 2860.93	         102127	
 2019/05/24-09:55	 2861.35	 2863.02	 2860.92	 2863.02	          94203	
 2019/05/24-09:56	 2862.88	 2868.20	 2862.88	 2867.52	         156561	
 2019/05/24-09:57	 2867.51	 2867.96	 2866.94	 2866.94	         109495	
 2019/05/24-09:58	 2867.13	 2867.17	 2863.63	 2864.00	          97687	
 2019/05/24-09:59	 2862.26	 2862.33	 2860.16	 2860.16	         104300	
 2019/05/24-10:00	 2860.53	 2862.58	 2860.53	 2861.37	          76283	
 2019/05/24-10:01	 2861.81	 2862.31	 2860.51	 2860.51	          75122	
 2019/05/24-10:02	 2861.24	 2861.24	 2860.01	 2860.48	          72294	
 2019/05/24-10:03	 2860.16	 2860.43	 2859.63	 2859.63	          70655	
 2019/05/24-10:04	 2859.73	 2860.67	 2859.63	 2860.53	          70921	
 2019/05/24-10:05	 2860.09	 2860.64	 2859.89	 2860.09	          66486	
 2019/05/24-10:06	 2859.92	 2860.11	 2855.96	 2855.96	         103578	
 2019/05/24-10:07	 2855.90	 2856.57	 2855.39	 2856.15	         130524	
 2019/05/24-10:08	 2856.11	 2856.47	 2854.11	 2854.33	          94192	
 2019/05/24-10:09	 2854.09	 2855.30	 2853.26	 2855.30	          95967	
 2019/05/24-10:10	 2855.26	 2855.26	 2853.14	 2853.14	          77917	
 2019/05/24-10:11	 2852.55	 2852.59	 2850.04	 2850.04	         106009	
 2019/05/24-10:12	 2848.97	 2849.05	 2847.54	 2849.05	         136327	
 2019/05/24-10:13	 2848.42	 2848.55	 2847.98	 2848.36	         111429	
 2019/05/24-10:14	 2848.39	 2853.64	 2848.39	 2853.64	         117092	
 2019/05/24-10:15	 2853.85	 2855.02	 2853.82	 2854.21	          82630	
 2019/05/24-10:16	 2854.13	 2854.13	 2853.06	 2853.46	          57969	
 2019/05/24-10:17	 2853.01	 2853.62	 2852.67	 2852.67	          66330	
 2019/05/24-10:18	 2852.57	 2854.61	 2852.57	 2854.58	          58215	
 2019/05/24-10:19	 2854.88	 2855.20	 2854.18	 2854.95	          57157	
 2019/05/24-10:20	 2854.86	 2855.58	 2854.84	 2855.05	          64880	
 2019/05/24-10:21	 2855.29	 2855.83	 2855.29	 2855.66	          56852	
 2019/05/24-10:22	 2856.00	 2856.41	 2855.19	 2855.19	          58536	
 2019/05/24-10:23	 2855.16	 2855.50	 2854.47	 2854.47	          51530	
 2019/05/24-10:24	 2854.81	 2854.81	 2853.51	 2853.51	          49480	
 2019/05/24-10:25	 2853.53	 2853.55	 2852.36	 2852.50	          46590	
 2019/05/24-10:26	 2852.82	 2852.82	 2851.72	 2851.72	          49348	
 2019/05/24-10:27	 2852.01	 2854.53	 2851.25	 2854.53	          82948	
 2019/05/24-10:28	 2854.60	 2855.41	 2854.15	 2855.06	          81113	
 2019/05/24-10:29	 2854.60	 2855.30	 2854.08	 2854.08	          56108	
 2019/05/24-10:30	 2854.69	 2854.69	 2853.17	 2853.17	          77135	
 2019/05/24-10:31	 2853.11	 2853.23	 2851.99	 2852.25	          60037	
 2019/05/24-10:32	 2852.46	 2852.46	 2850.93	 2850.93	          54817	
 2019/05/24-10:33	 2850.76	 2850.84	 2849.87	 2850.53	          53335	
 2019/05/24-10:34	 2850.30	 2851.91	 2850.02	 2851.91	          57339	
 2019/05/24-10:35	 2851.78	 2852.11	 2851.54	 2852.11	          45701	
 2019/05/24-10:36	 2852.34	 2852.34	 2850.90	 2851.51	          45693	
 2019/05/24-10:37	 2850.98	 2850.98	 2849.58	 2850.11	          55064	
 2019/05/24-10:38	 2849.55	 2851.45	 2849.04	 2851.35	          58540	
 2019/05/24-10:39	 2851.11	 2851.52	 2849.95	 2850.06	          44896	
 2019/05/24-10:40	 2849.82	 2850.09	 2849.24	 2850.06	          41416	
 2019/05/24-10:41	 2849.41	 2853.16	 2849.41	 2853.03	          68974	
 2019/05/24-10:42	 2853.43	 2855.30	 2853.43	 2855.09	          64369	
 2019/05/24-10:43	 2854.89	 2855.27	 2854.26	 2855.00	          46768	
 2019/05/24-10:44	 2854.72	 2854.90	 2854.18	 2854.75	          37381	
 2019/05/24-10:45	 2854.51	 2854.75	 2853.96	 2854.46	          36144	
 2019/05/24-10:46	 2854.29	 2854.47	 2853.82	 2854.23	          34437	
 2019/05/24-10:47	 2853.96	 2854.13	 2852.82	 2852.82	          43197	
 2019/05/24-10:48	 2853.13	 2853.37	 2852.65	 2853.36	          33455	
 2019/05/24-10:49	 2853.24	 2853.36	 2852.42	 2852.44	          38979	
 2019/05/24-10:50	 2852.35	 2852.70	 2851.86	 2852.10	          35720	
 2019/05/24-10:51	 2852.00	 2852.82	 2851.96	 2852.67	          34873	
 2019/05/24-10:52	 2852.66	 2853.24	 2852.40	 2852.53	          30309	
 2019/05/24-10:53	 2852.61	 2853.75	 2852.61	 2853.51	          31308	
 2019/05/24-10:54	 2853.74	 2854.09	 2853.32	 2853.35	          29623	
 2019/05/24-10:55	 2853.93	 2855.12	 2853.93	 2855.12	          35318	
 2019/05/24-10:56	 2855.21	 2857.14	 2855.16	 2857.14	          52768	
 2019/05/24-10:57	 2857.29	 2860.99	 2857.29	 2860.99	          88228	
 2019/05/24-10:58	 2861.36	 2862.25	 2860.64	 2862.25	          76020	
 2019/05/24-10:59	 2862.24	 2863.26	 2861.77	 2862.87	          63139	
 2019/05/24-11:00	 2863.49	 2863.60	 2863.16	 2863.24	          57229	
 2019/05/24-11:01	 2863.76	 2864.36	 2863.59	 2864.19	          54761	
 2019/05/24-11:02	 2864.89	 2865.05	 2864.13	 2864.22	          51557	
 2019/05/24-11:03	 2863.92	 2864.80	 2863.92	 2864.68	          47603	
 2019/05/24-11:04	 2864.73	 2864.73	 2863.68	 2863.68	          42322	
 2019/05/24-11:05	 2863.72	 2864.37	 2863.38	 2863.38	          38195	
 2019/05/24-11:06	 2863.90	 2864.01	 2860.09	 2860.09	          64664	
 2019/05/24-11:07	 2860.26	 2860.29	 2859.39	 2859.43	          49472	
 2019/05/24-11:08	 2859.65	 2860.40	 2859.06	 2859.06	          34778	
 2019/05/24-11:09	 2859.33	 2860.20	 2859.10	 2859.67	          35153	
 2019/05/24-11:10	 2859.50	 2859.87	 2859.18	 2859.24	          30466	
 2019/05/24-11:11	 2859.36	 2859.63	 2857.04	 2857.56	          39304	
 2019/05/24-11:12	 2857.32	 2857.84	 2856.68	 2856.81	          33244	
 2019/05/24-11:13	 2856.76	 2858.04	 2856.76	 2857.57	          32455	
 2019/05/24-11:14	 2857.58	 2858.52	 2857.53	 2857.53	          28957	
 2019/05/24-11:15	 2857.99	 2858.67	 2857.51	 2858.49	          34777	
 2019/05/24-11:16	 2857.11	 2858.11	 2857.11	 2857.13	          31732	
 2019/05/24-11:17	 2857.21	 2857.48	 2856.76	 2856.87	          37229	
 2019/05/24-11:18	 2856.66	 2856.71	 2855.74	 2855.74	          40106	
 2019/05/24-11:19	 2855.83	 2856.96	 2855.83	 2856.73	          40997	
 2019/05/24-11:20	 2856.36	 2858.59	 2856.28	 2858.43	          54117	
 2019/05/24-11:21	 2858.51	 2858.70	 2857.94	 2858.23	          37814	
 2019/05/24-11:22	 2857.98	 2858.93	 2857.98	 2858.20	          31861	
 2019/05/24-11:23	 2858.23	 2858.50	 2857.49	 2857.94	          41600	
 2019/05/24-11:24	 2858.57	 2858.57	 2857.63	 2857.69	          42583	
 2019/05/24-11:25	 2857.74	 2857.74	 2856.63	 2856.63	          50809	
 2019/05/24-11:26	 2856.33	 2856.43	 2854.64	 2854.83	          56726	
 2019/05/24-11:27	 2854.79	 2854.79	 2854.01	 2854.54	          53095	
 2019/05/24-11:28	 2854.07	 2854.18	 2853.54	 2853.64	          48074	
 2019/05/24-11:29	 2853.58	 2853.58	 2852.66	 2853.10	          49660	
 2019/05/24-11:30	 2852.57	 2852.57	 2850.90	 2851.40	          58932	
 2019/05/24-13:01	 2851.50	 2851.50	 2850.76	 2851.21	         134067	
 2019/05/24-13:02	 2850.66	 2851.36	 2850.42	 2850.75	          38611	
 2019/05/24-13:03	 2850.22	 2850.36	 2849.55	 2849.89	          44095	
 2019/05/24-13:04	 2849.92	 2850.46	 2849.53	 2850.26	          48363	
 2019/05/24-13:05	 2850.85	 2850.91	 2849.63	 2849.63	          41973	
 2019/05/24-13:06	 2850.23	 2850.29	 2849.53	 2849.81	          37105	
 2019/05/24-13:07	 2849.72	 2849.72	 2848.60	 2848.81	          45330	
 2019/05/24-13:08	 2848.69	 2848.69	 2847.05	 2847.15	          63180	
 2019/05/24-13:09	 2846.49	 2846.92	 2846.32	 2846.61	          61317	
 2019/05/24-13:10	 2846.88	 2848.78	 2846.88	 2848.11	          61042	
 2019/05/24-13:11	 2848.63	 2849.29	 2848.15	 2848.75	          43779	
 2019/05/24-13:12	 2849.12	 2849.31	 2848.22	 2848.43	          34133	
 2019/05/24-13:13	 2848.57	 2849.51	 2848.35	 2849.51	          38880	
 2019/05/24-13:14	 2849.55	 2850.29	 2849.55	 2849.69	          38049	
 2019/05/24-13:15	 2850.19	 2850.83	 2850.03	 2850.59	          35421	
 2019/05/24-13:16	 2850.11	 2851.14	 2849.78	 2850.63	          32483	
 2019/05/24-13:17	 2849.76	 2850.35	 2849.18	 2849.66	          31401	
 2019/05/24-13:18	 2849.47	 2849.81	 2848.92	 2848.92	          31288	
 2019/05/24-13:19	 2848.76	 2849.24	 2848.14	 2848.99	          35122	
 2019/05/24-13:20	 2848.56	 2848.89	 2847.66	 2848.13	          40217	
 2019/05/24-13:21	 2848.17	 2848.78	 2847.43	 2847.84	          39408	
 2019/05/24-13:22	 2848.03	 2848.03	 2847.10	 2847.59	          48034	
 2019/05/24-13:23	 2847.22	 2849.90	 2847.22	 2849.90	          59585	
 2019/05/24-13:24	 2849.87	 2851.13	 2849.85	 2851.13	          44422	
 2019/05/24-13:25	 2850.95	 2851.22	 2850.26	 2851.05	          43197	
 2019/05/24-13:26	 2850.90	 2851.55	 2850.83	 2851.07	          38033	
 2019/05/24-13:27	 2850.69	 2852.74	 2850.69	 2852.74	          39461	
 2019/05/24-13:28	 2852.44	 2853.12	 2852.22	 2853.09	          43135	
 2019/05/24-13:29	 2853.34	 2853.57	 2852.34	 2853.41	          45728	
 2019/05/24-13:30	 2853.40	 2854.16	 2852.85	 2854.16	          41737	
 2019/05/24-13:31	 2854.13	 2856.91	 2853.94	 2856.91	          67303	
 2019/05/24-13:32	 2856.82	 2857.43	 2856.42	 2857.43	          56597	
 2019/05/24-13:33	 2856.91	 2857.09	 2855.47	 2855.47	          45564	
 2019/05/24-13:34	 2855.42	 2855.68	 2854.99	 2855.03	          40095	
 2019/05/24-13:35	 2855.45	 2856.54	 2855.39	 2856.10	          37010	
 2019/05/24-13:36	 2856.42	 2856.49	 2854.90	 2855.54	          35549	
 2019/05/24-13:37	 2855.45	 2855.82	 2854.99	 2855.82	          35604	
 2019/05/24-13:38	 2856.64	 2856.86	 2855.94	 2855.97	          40180	
 2019/05/24-13:39	 2856.63	 2856.95	 2856.41	 2856.53	          33124	
 2019/05/24-13:40	 2857.01	 2857.45	 2856.49	 2856.81	          35219	
 2019/05/24-13:41	 2857.13	 2858.24	 2856.76	 2857.82	          44410	
 2019/05/24-13:42	 2857.96	 2858.26	 2857.09	 2857.66	          41562	
 2019/05/24-13:43	 2857.78	 2858.17	 2857.15	 2857.66	          37598	
 2019/05/24-13:44	 2856.95	 2857.35	 2854.53	 2854.53	          49892	
 2019/05/24-13:45	 2855.44	 2855.44	 2853.88	 2854.09	          37073	
 2019/05/24-13:46	 2854.78	 2855.05	 2853.76	 2853.91	          35961	
 2019/05/24-13:47	 2854.76	 2854.81	 2852.84	 2853.47	          30307	
 2019/05/24-13:48	 2853.52	 2853.76	 2853.10	 2853.40	          33986	
 2019/05/24-13:49	 2853.38	 2853.38	 2852.35	 2852.95	          35322	
 2019/05/24-13:50	 2853.31	 2854.72	 2853.31	 2854.70	          47143	
 2019/05/24-13:51	 2855.24	 2855.78	 2854.95	 2855.58	          38768	
 2019/05/24-13:52	 2856.16	 2856.16	 2855.60	 2855.98	          35031	
 2019/05/24-13:53	 2856.08	 2856.85	 2855.77	 2856.30	          36625	
 2019/05/24-13:54	 2856.89	 2857.53	 2856.63	 2856.95	          38413	
 2019/05/24-13:55	 2857.13	 2857.56	 2855.68	 2856.07	          38534	
 2019/05/24-13:56	 2855.69	 2855.95	 2854.96	 2854.96	          34728	
 2019/05/24-13:57	 2855.45	 2855.62	 2855.02	 2855.15	          35330	
 2019/05/24-13:58	 2855.51	 2855.77	 2855.28	 2855.39	          33445	
