                  上证指数 (999999)
      时间	    开盘	    最高	    最低	    收盘	         成交量	
 2020/01/23-09:51	 3043.46	 3043.72	 3041.68	 3043.18	         170617	
 2020/01/23-09:52	 3042.78	 3044.06	 3042.78	 3043.96	         145446	
 2020/01/23-09:53	 3043.67	 3044.08	 3042.62	 3042.62	         153461	
 2020/01/23-09:54	 3042.63	 3042.63	 3040.45	 3041.12	         151327	
 2020/01/23-09:55	 3041.04	 3041.04	 3039.99	 3039.99	         139832	
 2020/01/23-09:56	 3039.36	 3039.68	 3037.34	 3038.01	         153384	
 2020/01/23-09:57	 3037.56	 3040.44	 3037.50	 3040.44	         140610	
 2020/01/23-09:58	 3041.42	 3041.85	 3040.41	 3041.05	         134044	
 2020/01/23-09:59	 3040.38	 3040.63	 3039.63	 3039.90	         114102	
 2020/01/23-10:00	 3040.39	 3041.68	 3040.14	 3041.40	         151509	
 2020/01/23-10:01	 3041.50	 3042.08	 3040.68	 3040.76	         130258	
 2020/01/23-10:02	 3039.65	 3041.04	 3039.27	 3040.90	         156635	
 2020/01/23-10:03	 3040.90	 3042.42	 3040.90	 3042.02	         121873	
 2020/01/23-10:04	 3042.00	 3043.34	 3041.96	 3043.34	         144514	
 2020/01/23-10:05	 3043.68	 3043.70	 3042.06	 3043.08	         126891	
 2020/01/23-10:06	 3042.56	 3044.02	 3042.55	 3042.95	         127741	
 2020/01/23-10:07	 3042.79	 3044.28	 3042.79	 3044.28	         122920	
 2020/01/23-10:08	 3044.13	 3044.95	 3044.13	 3044.63	         121334	
 2020/01/23-10:09	 3044.39	 3044.55	 3043.67	 3043.90	         137659	
 2020/01/23-10:10	 3043.30	 3043.94	 3042.62	 3042.62	         122236	
 2020/01/23-10:11	 3042.92	 3042.92	 3042.03	 3042.64	         143029	
 2020/01/23-10:12	 3041.63	 3042.32	 3041.26	 3041.26	         109112	
 2020/01/23-10:13	 3040.52	 3041.70	 3040.52	 3041.70	         130596	
 2020/01/23-10:14	 3041.67	 3042.22	 3040.36	 3040.50	         114968	
 2020/01/23-10:15	 3040.91	 3041.09	 3038.80	 3038.80	         117805	
 2020/01/23-10:16	 3038.52	 3039.18	 3038.14	 3038.32	         132857	
 2020/01/23-10:17	 3038.72	 3038.72	 3037.32	 3037.65	         138299	
 2020/01/23-10:18	 3037.84	 3037.84	 3036.44	 3037.53	         118400	
 2020/01/23-10:19	 3037.69	 3039.58	 3037.66	 3039.58	         112196	
 2020/01/23-10:20	 3039.95	 3039.95	 3038.58	 3038.73	         114943	
 2020/01/23-10:21	 3039.39	 3039.39	 3038.06	 3038.97	         114936	
 2020/01/23-10:22	 3038.58	 3038.58	 3035.82	 3035.82	         127102	
 2020/01/23-10:23	 3035.70	 3035.85	 3034.72	 3034.72	         133460	
 2020/01/23-10:24	 3035.10	 3036.33	 3034.71	 3036.10	          99946	
 2020/01/23-10:25	 3035.73	 3036.75	 3035.73	 3036.40	         115528	
 2020/01/23-10:26	 3036.51	 3037.38	 3036.51	 3037.38	          96654	
 2020/01/23-10:27	 3036.94	 3037.29	 3035.90	 3036.61	          92653	
 2020/01/23-10:28	 3036.41	 3036.75	 3036.12	 3036.16	          89499	
 2020/01/23-10:29	 3036.58	 3036.76	 3034.37	 3034.94	         106069	
 2020/01/23-10:30	 3034.41	 3035.72	 3034.41	 3035.17	          97993	
 2020/01/23-10:31	 3034.33	 3034.33	 3031.18	 3031.18	         182973	
 2020/01/23-10:32	 3031.06	 3031.96	 3031.06	 3031.43	         145975	
 2020/01/23-10:33	 3032.64	 3032.64	 3030.84	 3031.37	         132960	
 2020/01/23-10:34	 3031.84	 3031.84	 3030.86	 3031.27	         116532	
 2020/01/23-10:35	 3032.25	 3032.77	 3031.80	 3032.01	         101815	
 2020/01/23-10:36	 3032.51	 3033.26	 3032.15	 3032.15	          87185	
 2020/01/23-10:37	 3031.96	 3032.87	 3031.31	 3031.97	          88749	
 2020/01/23-10:38	 3031.82	 3031.82	 3030.09	 3030.57	          92375	
 2020/01/23-10:39	 3029.75	 3030.20	 3028.66	 3028.66	         132689	
 2020/01/23-10:40	 3028.95	 3028.95	 3026.60	 3026.60	         162676	
 2020/01/23-10:41	 3026.60	 3027.21	 3025.95	 3026.65	         147329	
 2020/01/23-10:42	 3027.24	 3027.24	 3024.62	 3024.97	         118212	
 2020/01/23-10:43	 3024.64	 3024.64	 3022.04	 3022.04	         185753	
 2020/01/23-10:44	 3022.25	 3022.25	 3020.90	 3022.02	         164931	
 2020/01/23-10:45	 3021.21	 3022.26	 3021.16	 3022.26	         125773	
 2020/01/23-10:46	 3022.08	 3022.26	 3021.24	 3021.27	         129245	
 2020/01/23-10:47	 3021.02	 3021.36	 3018.88	 3018.88	         137817	
 2020/01/23-10:48	 3018.67	 3018.90	 3018.05	 3018.33	         136420	
